"id" "reference_number" "species_number" "record" "passive_methods" "complementary_methods" "month_start" "year_start" "month_finish" "year_finish" "effort_months" "country" "state" "state_abbreviation" "municipality" "latitude" "longitude" "coordinate_precision" "altitude" "temperature" "precipitation"
"33" "amp1033" 1007 7 "co" "dr" NA 3 2013 2 2014 11 "Brazil" "Paraíba" "BR-PB" "Santa Rita" -6.994444444 -34.96277778 "gms" 32 25.74 1663
"34" "amp1034" 1007 7 "co" "dr" NA 3 2013 2 2014 11 "Brazil" "Paraíba" "BR-PB" "Planalto da Boa Esperança" -7.191388889 -34.85888889 "gms" 28 25.7 1914
"35" "amp1035" 1007 7 "co" "dr" NA 3 2013 2 2014 11 "Brazil" "Paraíba" "BR-PB" "Cabedelo" -7.064444444 -34.85277778 "gms" 15 25.96 1837
"36" "amp1036" 1007 8 "co" "dr" NA 3 2013 2 2014 11 "Brazil" "Paraíba" "BR-PB" "Roger" -7.112222222 -34.87388889 "gms" 29 25.77 1957
"37" "amp1037" 1007 9 "co" "dr" NA 3 2013 2 2014 11 "Brazil" "Paraíba" "BR-PB" "João Pessoa" -7.144166667 -34.85861111 "gms" 56 25.64 1902
"38" "amp1038" 1007 4 "co" "dr" NA 3 2013 2 2014 11 "Brazil" "Paraíba" "BR-PB" "João Pessoa" -7.153611111 -34.93361111 "gms" 65 25.52 1746
"39" "amp1039" 1007 2 "co" "dr" NA 3 2013 2 2014 11 "Brazil" "Paraíba" "BR-PB" "João Pessoa" -7.138611111 -34.87388889 "gms" 38 25.72 1939
"40" "amp1040" 1007 2 "co" "dr" NA 3 2013 2 2014 11 "Brazil" "Paraíba" "BR-PB" "João Pessoa" -7.174444444 -34.82444444 "gms" 38 25.71 1959
"41" "amp1041" 1007 3 "co" "dr" NA 3 2013 2 2014 11 "Brazil" "Paraíba" "BR-PB" "João Pessoa" -7.148611111 -34.79666667 "gms" 5 NA NA
"42" "amp1042" 1008 5 "co" NA "ae" 5 2013 12 2013 7 "Brazil" "Paraíba" "BR-PB" "Mamanguape" -6.72425 -35.144722 "dd" 103 25.2 1377
"43" "amp1043" 1008 2 "co" NA "ae" 5 2013 12 2013 7 "Brazil" "Paraíba" "BR-PB" "Mamanguape" -6.728472 -35.137639 "dd" 163 24.8 1406
"44" "amp1044" 1008 1 "co" NA "ae" 5 2013 12 2013 7 "Brazil" "Paraíba" "BR-PB" "Mamanguape" -6.721167 -35.178239 "dd" 159 24.81 1316
"45" "amp1045" 1008 1 "co" NA "ae" 5 2013 12 2013 7 "Brazil" "Paraíba" "BR-PB" "Mamanguape" -6.743806 -35.155083 "dd" 174 24.76 1393
"46" "amp1046" 1008 2 "co" NA "ae" 5 2013 12 2013 7 "Brazil" "Paraíba" "BR-PB" "Mamanguape" -6.740806 -35.171167 "dd" 180 24.7 1348
"47" "amp1047" 1008 8 "co" NA "ae" 5 2013 12 2013 7 "Brazil" "Paraíba" "BR-PB" "Mamanguape" -6.718722 -35.14825 "dd" 103 25.2 1377
"48" "amp1048" 1008 8 "co" NA "ae" 5 2013 12 2013 7 "Brazil" "Paraíba" "BR-PB" "Mamanguape" -6.719194 -35.148667 "dd" 103 25.2 1377
"49" "amp1049" 1008 7 "co" NA "ae" 5 2013 12 2013 7 "Brazil" "Paraíba" "BR-PB" "Mamanguape" -6.700111 -35.141889 "dd" 66 25.45 1371
"50" "amp1050" 1008 8 "co" NA "ae" 5 2013 12 2013 7 "Brazil" "Paraíba" "BR-PB" "Mamanguape" -6.72025 -35.161194 "dd" 98 25.23 1331
"51" "amp1051" 1008 9 "co" NA "ae" 5 2013 12 2013 7 "Brazil" "Paraíba" "BR-PB" "Mamanguape" -6.723 -35.158917 "dd" 98 25.23 1331
"52" "amp1052" 1008 6 "co" NA "ae" 5 2013 12 2013 7 "Brazil" "Paraíba" "BR-PB" "Mamanguape" -6.718778 -35.15575 "dd" 80 25.35 1350
"53" "amp1053" 1008 5 "co" NA "ae" 5 2013 12 2013 7 "Brazil" "Paraíba" "BR-PB" "Mamanguape" -6.731556 -35.160278 "dd" 112 25.14 1334
"54" "amp1054" 1009 21 "co" NA NA 2 1993 NA 1996 NA "Brazil" "Paraíba" "BR-PB" "Mamanguape e Rio Tinto" -6.833333333 -35.11666667 "gm" 41 25.72 1393
"55" "amp1055" 1009 24 "co" NA NA 1 1993 12 1996 47 "Brazil" "Paraíba" "BR-PB" "Mamanguape e Rio Tinto" -6.731666667 -35.14638889 "gm" 139 24.97 1374
"56" "amp1056" 1009 19 "co" NA NA 1 1993 12 1996 47 "Brazil" "Paraíba" "BR-PB" "Areia" -6.966666667 -35.68333333 "gm" 512 21.79 1255
"57" "amp1057" 1010 21 "co" NA "ae" 6 2011 11 2011 5 "Brazil" "Paraíba" "BR-PB" "Areia" -6.97 -35.71527778 "gms" 536 21.68 1201
"58" "amp1058" 1011 14 "co" "pt" "ae" 8 2011 7 2012 11 "Brazil" "Paraíba" "BR-PB" "João Pessoa" -7.145 -34.865 "gms" 56 25.64 1902
